"0";" ";" ";" ";"06/02/23";" ";"07/02/23";" ";"08/02/23";" ";"09/02/23";" ";"10/02/23";" ";"11/02/23";" ";"12/02/23";" ";"13/02/23";" ";"14/02/23";" ";"15/02/23"
"1";"Torino - Lingotto";"PM10_B";"1";" ";"1";" ";"1";"   35";"1";"   33";"1";"   51";"1";"   60";"1";"   53";"1";"   67";"1";"   79";"1";"   81"
"2";"Torino - Rebaudengo";"PM10_B";"1";"   25";"1";"   33";"1";"   23";"1";"   19";"1";"   59";"1";"   71";"1";"   65";"1";"   83";"1";"   92";"1";"   95"
"3";"Torino - Rubino";"PM10_BH";"1";" ";"1";" ";"1";"   30";"1";"   28";"1";"   51";"1";"   51";"1";"   53";"1";"   60";"1";"   72";"1";"   70"
"4";"Baldissero T.(ACEA) - parco";"PM10_B";"1";"   18";"1";"   14";"1";"   24";"1";"   20";"1";"   22";"1";"   25";"1";"   27";"1";"   40";"1";"   34";"1";"   39"
"5";"Beinasco (TRM) - Aldo Mei";"PM10_B";"1";"   20";"1";"   20";"1";"   32";"1";"   30";"1";"   48";"1";"   54";"1";"   48";"1";"   59";"1";"   71";"1";"   73"
"6";"Borgaro T. - Caduti";"PM10_B";"1";"   22";"1";"   25";"1";"   36";"1";"   31";"1";"   41";"1";"   53";"1";"   45";"1";"   55";"1";"   65";"1";"   60"
"7";"Ceresole Reale - Diga";"PM10_B";"1";"    8";"1";"    2";"1";"   11";"1";" ";"1";"    2";"1";"    6";"1";"    5";"1";"    6";"1";"    4";"1";"    5"
"9";"Ivrea - Liberazione";"PM10_B";"1";"   23";"1";"   23";"1";"   34";"1";"   30";"1";"   49";"1";"   54";"1";"   55";"1";"   58";"1";"   63";"1";"   65"
"10";"Leini'(ACEA) - Grande Torino";"PM10_B";"1";"   21";"1";"   23";"1";"   29";"1";"   31";"1";"   44";"1";"   47";"1";"   39";"1";"   56";"1";"   61";"1";"   61"
"11";"Pinerolo - Alpini";"PM10_B";"1";"   17";"1";"   12";"1";"   22";"1";"   30";"1";"   32";"1";"   28";"1";"   24";"1";"   35";"1";"   36";"1";"   26"
"12";"Alessandria - Volta";"PM10_BH";"1";"   19";"1";"   25";"1";"   34";"1";"   30";"1";"   52";"1";"   55";"1";"   51";"1";"   86";"1";"   75";"1";"   66"
"13";"Casale M.to - Castello";"PM10_B";"1";"   19";"1";"   30";"1";"   38";"1";"   29";"1";"   44";"1";"   45";"1";"   39";"1";"   80";"1";"   51";"1";"   48"
"14";"Tortona - Carbone";"PM10_B";"1";"   26";"1";"   33";"1";"   47";"1";"   30";"1";"   47";"1";"   44";"1";"   34";"1";"   98";"1";"   68";"1";"   49"
"15";"Asti - D'Acquisto";"PM10_B";"1";"   20";"1";"   22";"1";" ";"1";"   28";"1";"   51";"1";"   55";"1";"   51";"1";"   73";"1";"   70";"1";"   63"
"17";"Trivero - Ronco";"PM10_B";"1";"   18";"1";"   12";"1";"   23";"1";"   17";"1";"   16";"1";"   19";"1";"   19";"1";"   27";"1";"   25";"1";"   16"
"18";"Bra - Madonna Fiori";"PM10_BH";"1";"   18";"1";"   20";"1";"   31";"1";"   31";"1";"   32";"1";"   35";"1";"   35";"1";"   54";"1";"   46";"1";"   38"
"19";"Cavallermaggiore - Galilei";"PM10_B";"1";"   18";"1";"   22";"1";"   35";"1";"   39";"1";"   39";"1";"   42";"1";"   38";"1";"   57";"1";"   57";"1";"   44"
"20";"Mondovi' - Aragno";"PM10_B";"1";"   27";"1";"   21";"1";"   38";"1";"   39";"1";"   36";"1";"   34";"1";"   24";"1";"   52";"1";"   46";"1";"   34"
"21";"Novara-Arpa";"PM10_BH";"1";"   22";"1";"   25";"1";"   39";"1";"   26";"1";"   38";"1";"   47";"1";"   51";"1";"   59";"1";"   59";"1";" "
"22";"Borgomanero - Molli";"PM10_B";"1";"   19";"1";"   24";"1";"   34";"1";"   26";"1";"   31";"1";"   28";"1";"   37";"1";"   33";"1";"   37";"1";"   28"
"23";"Castelletto T. - Fontane";"PM10_B";"1";"   26";"1";"   19";"1";"   44";"1";"   34";"1";"   46";"1";" ";"1";" ";"1";" ";"1";"   47";"1";"   34"
"24";"Baceno - Alpe Devero";"PM10_B";"1";"    6";"1";"    3";"1";"    9";"1";"   20";"1";"    5";"1";"    2";"1";"    3";"1";"    4";"1";"    2";"1";"    3"
"25";"Verbania - Gabardi";"PM10_B";"1";"   20";"1";"   18";"1";"   30";"1";"   19";"1";"   20";"1";"   25";"1";"   25";"1";"   29";"1";"   23";"1";"   19"
"26";"Omegna - Crusinallo";"PM10_B";"1";"   30";"1";"   32";"1";"   45";"1";"   37";"1";"   48";"1";"   55";"1";"   46";"1";"   50";"1";"   55";"1";"   43"
"27";"Vercelli - Gastaldi";"PM10_B";"1";"   24";"1";"   28";"1";"   33";"1";"   34";"1";"   53";"1";"   57";"1";"   56";"1";"   63";"1";"   69";"1";"   69"
"28";"Borgosesia - Tonella";"PM10_B";"1";"   21";"1";"   24";"1";"   30";"1";"   31";"1";"   27";"1";"   34";"1";"   36";"1";"   36";"1";"   37";"1";"   26"
"29";"Cigliano-Autostrada";"PM10_BH";"1";"   25";"1";"   24";"1";"   33";"1";"   30";"1";"   46";"1";"   49";"1";"   50";"1";"   54";"1";"   63";"1";"   61"
